Species,coef,significant,significant2,ci.lower,ci.upper,chg_rad_inc_1SD_clim,variable,month,CP,sp
CACO_subcanopy,-0.049505485,FALSE,FALSE,-0.260422471,0.170988034,-0.007227963,PETminusPRE,prev.dec,subcanopy,CACO
CACO_subcanopy,0.084845277,FALSE,FALSE,-0.08538761,0.240958278,0.012387689,PETminusPRE,curr.jan,subcanopy,CACO
CACO_subcanopy,-0.059099634,FALSE,FALSE,-0.239675632,0.112751209,-0.00862874,PETminusPRE,curr.feb,subcanopy,CACO
CACO_subcanopy,-0.136219822,FALSE,FALSE,-0.305601947,0.072929458,-0.019888541,PETminusPRE,curr.mar,subcanopy,CACO
CACO_subcanopy,0.110581635,FALSE,FALSE,-0.131988971,0.31258026,0.016145281,PETminusPRE,curr.apr,subcanopy,CACO
CACO_subcanopy,-0.21208853,TRUE,FALSE,-0.419668876,-0.0106458,-0.030965621,PETminusPRE,curr.may,subcanopy,CACO
CACO_subcanopy,-0.215045448,TRUE,FALSE,-0.376400145,-0.01678412,-0.031397341,PETminusPRE,curr.jun,subcanopy,CACO
CACO_subcanopy,-0.198500465,FALSE,FALSE,-0.387033379,0.030370465,-0.028981719,PETminusPRE,curr.jul,subcanopy,CACO
CACO_subcanopy,-0.139431118,FALSE,FALSE,-0.342570395,0.073251274,-0.0203574,PETminusPRE,curr.aug,subcanopy,CACO
CAGL_canopy,0.091645792,FALSE,FALSE,-0.109345291,0.288085548,0.012390565,cld,prev.apr,canopy,CAGL
CAGL_canopy,-0.251812075,TRUE,FALSE,-0.399029576,-0.067749618,-0.034045141,cld,prev.may,canopy,CAGL
CAGL_canopy,-0.0964983,FALSE,FALSE,-0.280188464,0.083596576,-0.013046627,cld,prev.jun,canopy,CAGL
CAGL_canopy,-0.141929089,FALSE,FALSE,-0.342584559,0.054168212,-0.019188896,cld,prev.jul,canopy,CAGL
CAGL_canopy,0.158612065,FALSE,FALSE,-0.013185063,0.333366728,0.021444444,cld,prev.aug,canopy,CAGL
CAGL_canopy,0.095251552,FALSE,FALSE,-0.108607098,0.29526152,0.012878066,cld,prev.sep,canopy,CAGL
CAGL_canopy,-0.032822307,FALSE,FALSE,-0.212550178,0.136898098,-0.004437595,cld,prev.oct,canopy,CAGL
CAGL_canopy,0.293334105,TRUE,FALSE,0.115333113,0.445618587,0.039658943,cld,prev.nov,canopy,CAGL
CAGL_canopy,0.079105199,FALSE,FALSE,-0.088884005,0.255789102,0.010695069,cld,prev.dec,canopy,CAGL
CAGL_canopy,0.090564364,FALSE,FALSE,-0.092527996,0.261226463,0.012244355,cld,curr.jan,canopy,CAGL
CAGL_canopy,0.073406177,FALSE,FALSE,-0.082236248,0.229273114,0.009924558,cld,curr.feb,canopy,CAGL
CAGL_canopy,0.119834582,FALSE,FALSE,-0.054940963,0.297362846,0.016201706,cld,curr.mar,canopy,CAGL
